village,session,date,heure,especes,etat,nombre,endroit,sex,obtenu via,obtenu comment,obtenu ou,but,prix,tue via,tue quand,tue ou,cote,km
E10,8,04.09.19,07:55:00,PCM,E,1,M,M,C,C,V,M,NA,P,J,FF,N,1
E10,8,04.09.19,07:58:00,CIV,E,1,M,M,C,C,V,M,NA,P,J,FF,S,2
E10,8,07.09.19,16:13:00,ECU,E,1,M,M,C,C,V,M,NA,P,J,FF,N,1
E10,8,07.09.19,17:20:00,CBL,MR,16,M,NA,C,C,V,M,NA,NA,NA,NA,NA,NA
E10,8,07.09.19,17:25:00,PCM,MR,11,M,NA,C,C,V,M,NA,NA,NA,NA,NA,NA
E10,8,08.09.19,16:26:00,ATH,E,1,M,F,C,C,V,M,NA,F,N,FO,N,1
E10,8,08.09.19,16:29:00,CPE,E,1,R,F,C,C,V,V,17000,F,N,FO,N,3
E10,8,08.09.19,17:18:00,PCM,E,1,R,F,C,C,V,V,4000,P,N,FF,N,1
E10,8,09.09.19,08:29:00,HOC,E,1,R,F,C,C,V,V,6000,F,J,FO,N,2
E10,8,09.09.19,08:29:00,CBL,E,1,R,F,C,C,V,V,6000,F,N,FO,N,2
E10,8,09.09.19,08:29:00,CBL,E,1,R,M,C,C,V,V,6000,F,N,FO,N,2
E10,8,09.09.19,08:29:00,CBL,E,1,R,F,C,C,V,V,6000,F,N,FO,N,2
E10,8,12.09.19,16:07:00,ATH,E,1,M,F,C,C,V,V,6000,F,N,FO,N,3
E10,8,12.09.19,16:07:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,FO,N,3
E10,8,13.09.19,07:57:00,CPE,E,1,R,M,C,C,V,V,13000,F,N,FO,S,3
E10,8,13.09.19,07:57:00,NAN,E,1,R,F,C,C,V,V,3000,F,N,FF,S,2
E10,8,15.09.19,16:28:00,MST,E,1,M,F,C,C,V,M,NA,F,J,FF,S,1
E10,8,16.09.19,15:52:00,CBL,E,1,R,F,C,C,V,V,5000,F,J,FO,N,2
E10,8,17.09.19,08:11:00,CBL,E,1,M,M,C,C,V,M,NA,F,N,FO,N,2
E10,8,17.09.19,08:11:00,CBL,E,1,M,F,C,C,V,C,NA,F,N,FO,N,2
E10,8,17.09.19,08:11:00,CBL,E,1,M,F,C,C,V,C,NA,F,N,FO,N,2
E10,8,17.09.19,08:11:00,TOR,E,1,M,M,C,C,V,M,NA,M,N,FO,N,2
E10,8,17.09.19,08:11:00,TOR,E,1,M,F,C,C,V,M,NA,M,N,FO,N,2
E10,8,17.09.19,16:18:00,TOR,E,1,R,M,C,C,V,V,2000,P,J,FO,S,3
E10,8,18.09.19,15:53:00,CAL,E,1,R,M,C,C,V,V,3000,F,J,FO,N,3
C1,8,02.09.19,08:19:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,FF,N,3
C1,8,03.09.19,07:31:00,CBL,E,1,R,M,C,C,V,V,6000,F,N,FF,N,4
C1,8,03.09.19,07:47:00,NAN,E,1,R,F,C,C,V,V,5000,F,N,FF,N,5
C1,8,03.09.19,07:47:00,CBL,E,1,R,F,C,C,V,V,5000,F,N,FF,N,5
C1,8,03.09.19,17:18:00,CMN,MRF,4,M,NA,DH,D,H,M,NA,NA,NA,NA,NA,NA
C1,8,"04.09,19",08:01:00,ATH,E,1,M,M,C,C,V,M,NA,P,J,P,S,NA
C1,8,07.09.19,08:44:00,CBL,MIF,2,M,NA,C,C,V,C,NA,F,N,NA,N,NA
C1,8,07.09.19,16:05:00,CMN,TF,1,M,NA,D,D,V,M,NA,NA,NA,NA,NA,NA
C1,8,07.09.19,16:14:00,CBL,MR,26,M,NA,C,C,V,M,NA,F,N,FF,S,5
C1,8,07.09.19,16:14:00,CBL,T,1,M,NA,C,C,V,M,NA,F,N,FF,S,5
C1,8,07.09.19,16:48:00,CBL,G,1,M,NA,D,D,V,M,NA,NA,NA,NA,NA,NA
C1,8,08.09.19,16:18:00,CVB,E,1,R,F,C,C,V,V,12000,P,J,FF,S,3
C1,8,12.09.19,07:29:00,CBL,E,1,M,M,C,C,V,V,3000,F,N,FO,N,6
C1,8,12.09.19,08:40:00,CPO,G,4,M,NA,C,C,V,M,NA,F,J,NA,NA,NA
C1,8,12.09.19,08:40:00,CPO,MR,3,M,NA,C,C,V,M,NA,F,J,NA,NA,NA
C1,8,12.09.19,08:40:00,CPO,T,1,M,NA,C,C,V,M,NA,F,J,NA,NA,NA
C1,8,12.09.19,16:02:00,CBL,E,1,M,F,CH,C,H,C,NA,F,NA,NA,NA,NA
C1,8,12.09.19,16:02:00,CBL,E,1,M,M,CH,C,H,C,NA,F,NA,NA,NA,NA
C1,8,12.09.19,16:02:00,CBL,E,1,M,M,CH,C,H,C,NA,F,NA,NA,NA,NA
C1,8,12.09.19,16:02:00,CBL,E,1,M,M,CH,C,H,C,NA,F,NA,NA,NA,NA
C1,8,12.09.19,16:02:00,CBL,E,1,M,F,CH,C,H,C,NA,F,NA,NA,NA,NA
C1,8,12.09.19,16:02:00,MST,E,1,M,M,CH,C,H,C,NA,F,NA,NA,NA,NA
C1,8,12.09.19,16:52:00,ATH,MR,23,M,NA,C,C,V,M,NA,P,J,FO,S,4
C1,8,13.09.19,07:43:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,FF,N,2
C1,8,13.09.19,07:43:00,CBL,E,1,M,F,C,C,V,M,NA,F,N,FF,N,2
C1,8,16.09.19,07:28:00,POT,MI,2,M,F,C,C,V,V,30000,P,J,FO,S,5
C1,8,16.09.19,07:49:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,FF,N,4
C1,8,16.09.19,07:49:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,FO,N,4
C1,8,16.09.19,07:49:00,CBL,E,1,M,F,C,C,V,V,5000,F,N,FF,N,6
C1,8,16.09.19,07:49:00,CBL,E,1,M,M,C,C,V,M,NA,F,N,FF,N,6
C1,8,16.09.19,07:49:00,CBA,E,1,M,F,C,C,V,V,14000,F,N,FO,N,3
C1,8,16.09.19,07:49:00,CBL,E,1,M,F,C,C,V,M,NA,F,N,FO,N,3
C1,8,16.09.19,15:58:00,CBA,E,1,M,M,CH,C,H,C,NA,F,N,NA,NA,NA
C1,8,16.09.19,15:58:00,CBL,E,1,M,M,CH,C,H,C,NA,F,N,NA,NA,NA
C1,8,16.09.19,15:58:00,CBL,E,1,M,M,CH,C,H,C,NA,F,N,NA,NA,NA
C1,8,16.09.19,15:58:00,CBL,E,1,M,F,CH,C,H,C,NA,F,N,NA,NA,NA
C1,8,16.09.19,15:58:00,CBL,E,1,M,M,CH,C,H,C,NA,F,N,NA,NA,NA
C1,8,16.09.19,15:58:00,CBL,E,1,M,F,CH,C,H,C,NA,F,N,NA,NA,NA
C1,8,16.09.19,16:45:00,CBL,E,1,M,F,CH,C,H,C,NA,F,N,NA,NA,NA
C1,8,16.09.19,16:45:00,CBL,E,1,M,M,C,C,V,C,NA,F,N,NA,NA,NA
C1,8,17.09.19,07:53:00,ATH,E,1,M,M,C,C,V,V,6000,P,N,FF,S,4
C1,8,17.09.19,08:15:00,CPO,E,1,M,F,C,C,V,M,NA,F,J,FF,N,NA
C1,8,17.09.19,08:31:00,POT,E,1,M,F,C,C,V,C,NA,F,N,R,S,5
C1,8,17.09.19,08:31:00,PCM,E,1,M,M,C,C,V,M,NA,M,N,P,S,1
C1,8,18.09.19,08:05:00,CHV,E,1,M,F,C,C,V,V,8000,F,N,R,N,4
C1,8,18.09.19,08:05:00,PCM,E,1,M,F,C,C,V,M,NA,M,N,FO,N,3
C1,8,18.09.19,08:05:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,FF,N,5
C1,8,18.09.19,08:05:00,CBL,E,1,M,F,C,C,V,V,5000,F,N,FF,N,5
C1,8,19.09.19,07:36:00,CHV,PF,1,M,NA,D,D,V,M,NA,NA,NA,NA,NA,NA
C1,8,19.09.19,07:43:00,CBL,GF,3,R,NA,C,C,V,C,NA,NA,NA,NA,NA,NA
C1,8,21.09.19,07:32:00,HER,E,1,M,F,C,C,V,M,NA,F,N,P,N,NA
C1,8,21.09.19,07:32:00,PCM,E,1,R,F,C,C,V,V,5000,F,N,FO,N,6
C1,8,21.09.19,07:32:00,PCM,E,1,R,M,C,C,V,V,3000,P,N,FF,N,4
C1,8,21.09.19,16:20:00,CBA,E,1,R,F,C,C,V,V,10000,P,J,FO,S,3
E3,8,02.09.19,07:35:00,CMN,PF,1,M,NA,D,D,V,M,NA,F,NA,NA,NA,NA
E3,8,02.09.19,08:01:00,CBL,E,1,R,F,C,C,V,V,4000,F,N,P,N,1.5
E3,8,02.09.19,15:52:00,MST,EF,1,M,NA,C,C,V,M,NA,F,NA,NA,NA,NA
E3,8,02.09.19,15:53:00,CMN,PF,1,M,NA,C,C,V,M,NA,NA,NA,NA,NA,NA
E3,8,02.09.19,16:12:00,POT,MI,2,M,M,D,D,V,C,NA,F,NA,NA,NA,NA
E3,8,02.09.19,16:27:00,ATH,E,1,M,F,C,C,V,M,NA,P,J,FO,N,3
E3,8,04.09.19,07:27:00,CPE,E,1,R,F,C,C,V,V,15000,F,N,FF,S,2
E3,8,04.09.19,07:27:00,HER,E,1,R,M,C,C,V,V,5000,F,N,P,S,0.9
E3,8,04.09.19,16:22:00,CBL,E,1,M,F,DH,D,H,C,NA,F,NA,NA,NA,NA
E3,8,04.09.19,16:26:00,ATH,E,1,M,M,DH,D,H,C,NA,P,NA,NA,NA,NA
E3,8,04.09.19,16:37:00,ATH,E,1,R,F,C,C,V,V,6000,P,J,FF,N,4
E3,8,07.09.19,16:09:00,CBL,E,1,M,F,C,C,V,M,NA,P,J,R,N,NA
E3,8,07.09.19,16:43:00,MJG,E,1,M,F,NA,NA,NA,G,NA,NA,J,FF,S,6
E3,8,08.09.19,16:09:00,CMN,EF,1,M,NA,C,C,V,C,NA,F,N,FO,N,9
E3,8,08.09.19,16:09:00,CMN,EF,1,M,NA,C,C,V,C,NA,F,N,FO,N,9
E3,8,08.09.19,16:09:00,CMN,EF,1,M,NA,C,C,V,C,NA,F,N,FO,N,9
E3,8,08.09.19,16:09:00,CMN,PF,1,M,NA,C,C,V,C,NA,F,N,FO,N,9
E3,8,09.09.19,07:41:00,CPE,E,1,R,F,C,C,V,V,14000,F,N,FF,S,NA
E3,8,09.09.19,07:41:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,FF,S,NA
E3,8,09.09.19,16:34:00,PYT,E,1,M,F,C,C,V,V,50000,NA,J,R,N,2.5
E3,8,12.09.19,07:23:00,POT,MI,1,R,M,C,C,V,V,30000,F,J,FF,S,10
E3,8,12.09.19,07:27:00,CBA,E,1,R,F,C,C,V,V,10000,F,J,NA,S,NA
E3,8,12.09.19,08:23:00,CPE,E,1,M,F,CH,C,H,C,NA,F,NA,NA,NA,NA
E3,8,12.09.19,08:23:00,CBL,E,1,M,F,CH,C,H,C,NA,F,NA,NA,NA,NA
E3,8,12.09.19,08:23:00,POT,MI,2,M,M,CH,C,H,C,NA,F,NA,NA,NA,NA
E3,8,13.09.19,07:51:00,MNG,E,1,M,F,C,C,V,M,NA,F,J,FO,N,5
E3,8,13.09.19,07:51:00,CMN,G,4,M,NA,C,C,V,M,NA,F,J,FO,N,5
E3,8,13.09.19,15:58:00,TOR,E,1,R,M,C,C,V,V,1000,P,J,P,N,0.8
E3,8,16.09.19,07:40:00,POT,GF,2,M,NA,C,C,V,C,NA,F,J,NA,S,NA
E3,8,16.09.19,07:40:00,CMN,E,1,M,F,C,C,V,C,NA,F,J,NA,S,NA
E3,8,16.09.19,15:54:00,TOR,E,1,R,F,C,C,V,V,1500,P,J,NA,N,NA
E3,8,18.09.19,07:37:00,PCM,E,1,R,F,C,C,V,V,5000,F,N,FF,S,2
E3,8,21.09.19,07:39:00,POT,G,6,M,NA,C,C,V,C,NA,F,J,FO,S,4
E3,8,21.09.19,07:39:00,HOC,E,1,M,M,C,C,V,C,NA,F,J,FO,S,4
E3,8,21.09.19,08:03:00,CMN,GF,4,M,NA,C,C,V,C,NA,F,J,NA,N,NA
C2,8,02.09.19,07:32:00,NAN,E,1,R,F,C,C,V,V,5000,F,N,FF,N,2
C2,8,02.09.19,07:38:00,HOC,E,1,R,M,C,C,V,V,8000,F,J,FO,N,NA
C2,8,02.09.19,07:43:00,CBA,MR,90,R,NA,C,C,V,V,100,NA,NA,NA,NA,NA
C2,8,02.09.19,16:28:00,CPE,G,1,M,NA,A,A,V,M,2500,NA,NA,NA,NA,NA
C2,8,02.09.19,16:30:00,CPE,G,1,M,NA,A,A,V,M,2500,NA,NA,NA,NA,NA
C2,8,03.09.19,07:34:00,POT,E,1,M,F,C,C,V,V,50000,F,J,P,N,2
C2,8,03.09.19,07:59:00,PCM,E,1,R,F,C,C,V,V,2500,P,J,FF,S,3
C2,8,04.09.19,07:34:00,ATH,E,1,R,M,C,C,V,V,5000,P,J,P,S,4
C2,8,04.09.19,07:39:00,CBA,GF,1,M,NA,C,C,V,M,NA,NA,NA,NA,NA,NA
C2,8,04.09.19,08:10:00,CBL,GF,4,M,NA,C,C,V,C,NA,NA,NA,NA,NA,NA
C2,8,04.09.19,15:07:00,CPE,G,2,M,NA,C,C,V,C,NA,NA,NA,NA,NA,NA
C2,8,04.09.19,15:10:00,CPE,G,1,M,NA,A,A,V,M,2500,NA,NA,NA,NA,NA
C2,8,07.09.19,07:39:00,TOR,E,1,R,M,C,C,V,V,3000,P,J,FF,S,3
C2,8,07.09.19,16:15:00,VAR,E,1,M,F,C,C,V,M,NA,P,J,P,N,2
C2,8,08.09.19,16:35:00,CBA,G,3,M,NA,C,C,V,V,7500,NA,NA,NA,NA,NA
C2,8,08.09.19,17:00:00,CBA,G,1,M,NA,C,C,V,V,2500,NA,NA,NA,NA,NA
C2,8,09.09.19,08:03:00,HER,E,1,R,M,C,C,V,V,5000,F,N,P,S,1
C2,8,09.09.19,16:36:00,CFN,MR,5,M,NA,A,A,V,M,10000,NA,NA,NA,NA,NA
C2,8,09.09.19,16:39:00,CBL,E,1,M,F,C,C,V,M,NA,P,J,FO,S,NA
C2,8,09.09.19,16:50:00,CBA,G,2,R,NA,D,D,V,M,NA,NA,NA,NA,NA,NA
C2,8,09.09.19,17:07:00,CHV,MR,2,M,NA,D,D,V,M,NA,NA,NA,NA,NA,NA
C2,8,12.09.19,08:27:00,CMN,GF,4,M,NA,CH,C,H,C,NA,NA,NA,NA,NA,NA
C2,8,12.09.19,08:27:00,CBA,GF,4,M,NA,CH,C,H,C,NA,NA,NA,NA,NA,NA
C2,8,12.09.19,08:27:00,POT,MR,5,M,NA,CH,C,H,C,NA,NA,NA,NA,NA,NA
C2,8,12.09.19,08:27:00,POT,MRF,10,M,NA,CH,C,H,C,NA,NA,NA,NA,NA,NA
C2,8,12.09.19,08:42:00,HER,E,1,R,M,C,C,V,V,10000,P,J,P,S,2
C2,8,12.09.19,16:39:00,POT,MR,5,M,NA,CH,C,H,C,NA,NA,NA,NA,NA,NA
C2,8,12.09.19,16:39:00,CBL,GF,16,M,NA,CH,C,H,C,NA,NA,NA,NA,NA,NA
C2,8,12.09.19,16:39:00,CPE,GF,4,M,NA,CH,C,H,C,NA,NA,NA,NA,NA,NA
C2,8,13.09.19,08:33:00,CBL,GF,16,M,NA,C,C,V,C,NA,NA,NA,NA,NA,NA
C2,8,13.09.19,16:22:00,CVB,E,1,M,M,C,C,V,C,NA,F,N,FO,S,NA
C2,8,13.09.19,16:22:00,CBL,E,1,M,F,C,C,V,C,NA,F,N,FO,S,NA
C2,8,13.09.19,16:22:00,CBL,E,1,M,M,C,C,V,C,NA,F,N,FO,S,NA
C2,8,13.09.19,16:53:00,CBA,E,1,M,M,C,C,V,C,NA,F,J,FO,N,NA
C2,8,15.09.19,16:54:00,CHV,E,1,M,F,C,C,V,C,NA,F,N,R,S,NA
C2,8,16.09.19,15:54:00,CPE,E,1,R,M,C,C,V,V,10000,F,N,FO,N,NA
C2,8,16.09.19,15:54:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,FO,N,NA
C2,8,16.09.19,16:17:00,CPE,E,1,M,F,C,C,V,C,NA,F,NA,NA,NA,NA
C2,8,21.09.19,07:20:00,TOR,E,1,R,M,C,C,V,V,1500,P,J,FF,N,2
C2,8,21.09.19,07:39:00,HOC,E,1,M,M,C,C,V,V,5000,F,J,FO,N,NA
C2,8,21.09.19,07:39:00,ATH,E,1,M,M,C,C,V,M,NA,F,N,FO,N,NA
C2,8,21.09.19,07:43:00,POT,T,1,M,NA,C,C,V,M,NA,NA,NA,NA,NA,NA
C2,8,21.09.19,07:45:00,CBL,E,1,R,F,C,C,V,V,5000,F,N,FO,N,NA
C2,8,21.09.19,15:59:00,CBA,E,1,R,M,C,C,V,V,10000,F,N,FO,N,NA
C2,8,21.09.19,16:06:00,CBA,E,1,R,M,C,C,V,V,13000,F,J,FO,N,NA
C2,8,21.09.19,16:12:00,HER,E,1,R,M,C,C,V,V,1100,P,J,P,N,3
C2,8,21.09.19,16:21:00,CFN,MR,25,R,NA,C,C,V,V,100,NA,NA,NA,NA,NA
E5,8,02.09.19,07:51:00,CBL,GF,3,M,NA,C,C,V,M,NA,F,N,NA,NA,NA
E5,8,03.09.19,07:47:00,CBL,EF,1,M,NA,C,C,V,M,NA,NA,NA,NA,NA,NA
E5,8,03.09.19,07:47:00,CBL,EF,1,M,NA,C,C,V,M,NA,NA,NA,NA,NA,NA
E5,8,04.09.19,16:39:00,NAN,MR,23,M,NA,D,D,V,M,NA,NA,NA,NA,NA,NA
E5,8,07.09.19,07:24:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,FO,N,3
E5,8,07.09.19,07:24:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,FF,N,3
E5,8,07.09.19,07:24:00,PLQ,E,1,R,M,C,C,V,V,5000,F,N,FF,N,3
E5,8,07.09.19,07:24:00,PCM,E,1,R,F,C,C,V,V,4000,F,N,FO,N,3
E5,8,07.09.19,07:24:00,CPE,E,1,R,M,C,C,V,V,13000,F,N,FF,S,4
E5,8,07.09.19,08:06:00,ATH,E,1,M,F,C,C,V,M,NA,F,N,FO,N,2
E5,8,08.09.19,16:12:00,CBA,G,1,M,NA,C,C,V,M,NA,NA,NA,NA,NA,NA
E5,8,08.09.19,16:12:00,CBA,MR,38,M,NA,A,A,V,M,NA,NA,NA,NA,NA,NA
E5,8,08.09.19,16:12:00,CBA,T,1,M,NA,A,A,V,M,NA,NA,NA,NA,NA,NA
E5,8,09.09.19,07:53:00,SIT,MR,9,M,NA,A,A,V,M,NA,P,J,P,N,2
E5,8,09.09.19,07:57:00,SIT,T,1,M,NA,C,C,V,M,NA,P,J,P,N,2
E5,8,09.09.19,16:19:00,CHV,GF,1,M,NA,D,D,V,M,NA,NA,NA,NA,NA,NA
E5,8,09.09.19,16:19:00,CHV,MR,12,M,NA,A,A,V,M,NA,NA,NA,NA,NA,NA
E5,8,09.09.19,16:51:00,CBL,E,1,M,M,A,A,V,V,5000,F,N,NA,NA,NA
E5,8,12.09.19,07:20:00,CBL,E,1,M,M,C,C,V,M,NA,F,N,NA,N,8
E5,8,12.09.19,07:20:00,CBL,E,1,R,F,C,C,V,V,5000,F,N,NA,N,8
E5,8,12.09.19,07:20:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,NA,N,7
E5,8,12.09.19,07:20:00,CBL,E,1,M,F,C,C,V,V,5000,F,N,NA,N,6
E5,8,12.09.19,07:20:00,CBL,E,1,M,F,C,C,V,V,5000,F,N,NA,N,6
E5,8,12.09.19,07:20:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,NA,N,6
E5,8,12.09.19,07:20:00,CBL,E,1,M,F,C,C,V,V,5000,F,N,NA,N,6
E5,8,12.09.19,07:27:00,CPE,E,1,R,F,C,C,V,V,15000,F,N,FF,N,8
E5,8,12.09.19,07:27:00,CBA,E,1,M,M,C,C,V,V,13000,F,N,FO,N,6
E5,8,12.09.19,07:27:00,CVB,E,1,M,M,C,C,V,V,10000,F,N,FO,N,6
E5,8,12.09.19,07:55:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,FO,S,4
E5,8,12.09.19,07:55:00,CBL,E,1,M,F,C,C,V,V,5000,F,N,FO,S,3
E5,8,12.09.19,07:55:00,CBL,E,1,M,F,C,C,V,V,5000,F,N,NA,S,3
E5,8,12.09.19,08:17:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,NA,N,4
E5,8,12.09.19,08:17:00,TOR,E,1,M,F,C,C,V,V,1000,NA,N,FO,N,4
E5,8,12.09.19,08:17:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,FF,N,4
E5,8,12.09.19,16:33:00,CBL,E,1,M,M,D,D,V,M,NA,F,NA,NA,NA,NA
E5,8,13.09.19,15:54:00,CBA,E,1,R,M,C,C,V,V,5000,F,N,NA,S,7
E5,8,14.09.19,07:30:00,CBL,E,1,M,F,C,C,V,V,5000,F,N,NA,S,6
E5,8,14.09.19,07:30:00,CBL,E,1,M,F,C,C,V,V,5000,F,N,NA,S,6
E5,8,14.09.19,07:30:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,NA,S,6
E5,8,14.09.19,07:30:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,NA,S,6
E5,8,14.09.19,07:30:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,NA,S,6
E5,8,14.09.19,07:30:00,CBL,E,1,M,F,C,C,V,M,NA,F,N,NA,S,6
E5,8,14.09.19,07:45:00,MPN,E,1,M,F,C,C,V,M,NA,F,N,FO,S,6
E5,8,14.09.19,07:45:00,CBL,E,1,M,M,C,C,V,M,NA,F,N,FF,S,6
E5,8,14.09.19,08:16:00,CBL,E,1,R,F,C,C,V,V,5000,F,N,FF,S,7
E5,8,14.09.19,08:16:00,CBA,E,1,M,M,C,C,V,V,6000,F,N,NA,S,7
E5,8,14.09.19,16:27:00,CBL,G,2,M,NA,D,D,V,M,NA,F,N,NA,NA,NA
E5,8,14.09.19,16:27:00,CBL,T,1,M,NA,D,D,V,M,NA,F,N,NA,NA,NA
E5,8,15.09.19,07:33:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,NA,NA,NA
E5,8,15.09.19,07:33:00,CBL,E,1,R,F,C,C,V,V,5000,F,N,NA,NA,NA
E5,8,16.09.19,07:27:00,HOC,E,1,R,M,C,C,V,V,8000,F,N,FF,S,8
E5,8,16.09.19,07:27:00,POT,E,1,R,M,C,C,V,V,25000,F,N,FO,S,4
E5,8,16.09.19,07:27:00,TOR,E,1,R,M,C,C,V,V,1000,NA,N,FO,S,6
E5,8,16.09.19,07:27:00,CBL,E,1,M,F,C,C,V,V,5000,F,N,FO,S,8
E5,8,16.09.19,07:27:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,FO,S,8
E5,8,16.09.19,07:27:00,ATH,E,1,M,M,C,C,V,V,5000,F,N,FF,S,8
E5,8,16.09.19,07:43:00,CBL,E,1,M,F,C,C,V,NA,NA,F,N,NA,NA,NA
E5,8,16.09.19,07:43:00,CBL,E,1,M,M,C,C,V,NA,NA,F,N,NA,NA,NA
E5,8,16.09.19,16:26:00,CDO,E,1,M,F,C,C,V,M,NA,F,J,FF,N,4
E5,8,17.09.19,07:24:00,CBA,E,1,R,M,C,C,V,V,10000,F,N,NA,NA,NA
E5,8,17.09.19,07:24:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,NA,NA,NA
E5,8,17.09.19,07:29:00,CBL,E,1,R,F,C,C,V,V,5000,F,N,FO,N,3
E5,8,17.09.19,07:29:00,CBL,E,1,R,F,C,C,V,V,5000,F,N,FO,N,3
E5,8,17.09.19,08:08:00,PCM,E,1,R,M,C,C,V,V,3000,F,N,NA,NA,NA
E5,8,18.09.19,07:27:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,NA,N,4
E5,8,18.09.19,07:27:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,NA,N,4
E5,8,18.09.19,07:27:00,CBL,E,1,M,F,C,C,V,V,5000,F,N,NA,N,4
E5,8,18.09.19,07:27:00,PCM,E,1,M,M,C,C,V,V,3000,M,N,P,N,4
E5,8,18.09.19,07:27:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,NA,N,4
E5,8,18.09.19,07:59:00,PLQ,E,1,R,M,C,C,V,V,5000,F,N,FO,N,3
E5,8,18.09.19,08:24:00,CFN,E,1,R,F,C,C,V,V,13000,F,N,FO,N,15
E5,8,18.09.19,08:24:00,CHV,E,1,M,F,C,C,V,V,NA,F,N,M,N,16
E5,8,21.09.19,16:54:00,CBL,E,1,M,M,C,C,V,M,NA,F,J,NA,NA,NA
E6,8,02.09.19,07:22:00,CBL,G,1,M,NA,C,C,V,M,NA,F,N,FF,S,5
E6,8,02.09.19,07:22:00,CBL,MR,7,M,NA,C,C,V,M,NA,F,N,FF,S,5
E6,8,03.09.19,07:23:00,POT,MI,1,M,F,C,C,V,V,30000,F,N,R,N,2
E6,8,03.09.19,07:23:00,CBL,E,1,M,F,C,C,V,V,5000,F,N,FO,N,2
E6,8,03.09.19,07:23:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,FO,N,2
E6,8,03.09.19,07:34:00,POT,MI,1,R,F,C,C,V,V,25000,F,N,R,N,2
E6,8,03.09.19,07:41:00,CBL,E,1,M,M,A,A,V,M,5000,F,N,NA,NA,NA
E6,8,03.09.19,07:41:00,CBL,E,1,M,M,A,A,V,M,5000,F,N,NA,NA,NA
E6,8,03.09.19,07:41:00,CBL,E,1,M,F,A,A,V,M,5000,F,N,NA,NA,NA
